Amostra,f(t),Rede 1_T1,Rede 1_T2,Rede 1_T3,Rede 2_T1,Rede 2_T2,Rede 2_T3,Rede 3_T1,Rede 3_T2,Rede 3_T3
t = 101,0.4173,0.32846022249111845,0.336015214289477,0.6328068673630098,0.323109873492741,0.3195705435282103,0.9999405419033598,0.9999978809391596,0.9999996553693964,0.9999953816272719
t = 102,0.0062,0.3303455192150597,0.3231432729933964,0.06657463788284289,0.3262235946244412,0.3229224582440639,0.9999341678160442,0.99999775326394,0.9999996365915698,0.9999950616519004
t = 103,0.3387,0.3400026524800554,0.3394560517041509,0.5470678295019616,0.3277149355558416,0.3373213776988273,0.99992849443537,0.9999974229118693,0.999999517818462,0.9999941521858757
t = 104,0.1886,0.34194687809758556,0.315282803927521,0.2772389398560789,0.335164676080845,0.32797138052841085,0.9999044446985487,0.9999975320975313,0.9999995842008432,0.9999941761821824
t = 105,0.7418,0.3419123494041301,0.34026301728718134,0.6030383869285496,0.33708311249396133,0.33214597839288285,0.9999119974736227,0.9999974934910444,0.9999995337917003,0.9999944800490703
t = 106,0.3138,0.32846829335002914,0.3235409119254337,0.2836488832978698,0.3224041906439931,0.3220175565254531,0.9999289906386449,0.9999978635152298,0.9999996813827148,0.9999952422580692
t = 107,0.4466,0.3218879341787167,0.33454834341451156,0.48691341991220416,0.33007957640207997,0.3240733526293968,0.9999379319521755,0.99999775796608,0.9999996082856779,0.9999951750591439
t = 108,0.0835,0.32145164584588587,0.3250158375029206,0.0883727373512293,0.32136210453073544,0.31825747028954987,0.9999357752520925,0.9999977508610554,0.999999654421551,0.9999948704974547
t = 109,0.193,0.3301551605972445,0.33422320489427626,0.25904905731414357,0.32527158347059354,0.33594412382123484,0.9999365320609246,0.9999973371600241,0.9999994729203927,0.9999939383955061
t = 110,0.3807,0.33951943380625654,0.3190453032032986,0.2191080683465672,0.33303049291663056,0.3245050401213809,0.9999133738155892,0.9999974334743841,0.9999995729971134,0.9999937973663627
t = 111,0.5438,0.33932658941619914,0.331288140487834,0.47929069139904884,0.33115694219250347,0.3312394526038282,0.9999323985876223,0.9999974065481988,0.99999953613702,0.9999942738899307
t = 112,0.5897,0.32980766263333433,0.32335471550471384,0.4923738293169337,0.3220890140297932,0.317496933215408,0.9999367860454897,0.9999978191909915,0.9999996762378112,0.9999950727357757
t = 113,0.3536,0.3188446469461605,0.3313832342344519,0.2569633573499906,0.32187751792603053,0.3207104863108387,0.9999492557718245,0.999997800903306,0.9999996383511061,0.9999954503199799
t = 114,0.221,0.31842268902166077,0.32919469382423205,0.1635703776448421,0.31571774930574614,0.3160049086199083,0.9999496571964752,0.9999979453024638,0.9999996996674301,0.9999953782720465
t = 115,0.0631,0.3256730690037271,0.32727080747044374,0.12612160331628453,0.3204342775280819,0.3268788580207149,0.9999477945755597,0.9999976526783588,0.999999577144521,0.9999947808573539
t = 116,0.4499,0.3381048318917116,0.3257697320541842,0.25749066618343247,0.32613566970241836,0.3261558595312947,0.9999336181344857,0.999997763004982,0.999999641705809,0.999994751494181
t = 117,0.2564,0.3392990747956938,0.3234392005761006,0.35114709112363074,0.326513970952057,0.329347535714655,0.9999376432153474,0.9999978059065945,0.9999996459832404,0.9999950685143488
t = 118,0.7642,0.3361284429198912,0.3275605766500945,0.6448715844227341,0.32636650442478643,0.31861873228430965,0.999933701132528,0.9999979589777634,0.9999996918019203,0.9999954299806394
t = 119,0.1411,0.3228432089608257,0.32804494151544283,0.18055265412387161,0.32005155120977113,0.31929812998484297,0.9999491988494823,0.9999980667321929,0.9999997123230925,0.9999959089140305
t = 120,0.3626,0.3228954372746698,0.33364249318508843,0.4234646264836331,0.3178284343443282,0.31770477146144865,0.9999483329827584,0.9999980209174201,0.999999699402484,0.9999956521668498
Erro Relativo Médio:,,3.2945768925532235,3.23464156276237,0.7877153052851961,3.254982317678185,3.234954048668726,11.124785902990713,11.125543433946927,11.125566326976786,11.125510227710425
Variância:,,127.29977559990921,121.70590961235362,4.2633034367901255,124.06468592275965,121.49508674909127,1183.6588388190373,1183.8093047106188,1183.8137634045659,1183.8029369025953
